time_elapsed,trial_index,trial_type,pid
140815.0,13.0,call-function,0
193234.0,13.0,call-function,1
192568.0,13.0,call-function,2
180994.0,13.0,call-function,3
148383.0,13.0,call-function,4
175555.0,13.0,call-function,5
143732.0,13.0,call-function,7
247677.0,13.0,call-function,8
141119.0,13.0,call-function,9
340777.0,15.0,call-function,10
160166.0,13.0,call-function,11
598704.0,13.0,call-function,12
161084.0,15.0,call-function,13
162702.0,13.0,call-function,14
151731.0,13.0,call-function,15
139709.0,13.0,call-function,16
206742.0,13.0,call-function,17
125034.0,13.0,call-function,18
231894.0,15.0,call-function,19
384012.0,15.0,call-function,20
116961.0,13.0,call-function,21
118332.0,15.0,call-function,22
210177.0,13.0,call-function,23
256829.0,15.0,call-function,24
303155.0,19.0,call-function,25
712769.0,13.0,call-function,26
122657.0,13.0,call-function,27
131003.0,13.0,call-function,28
143515.0,13.0,call-function,29
389988.0,13.0,call-function,30
235093.0,15.0,call-function,31
149589.0,13.0,call-function,32
193984.0,13.0,call-function,33
178447.0,15.0,call-function,34
136835.0,17.0,call-function,35
162551.0,13.0,call-function,36
217229.0,13.0,call-function,37
149078.0,19.0,call-function,38
243586.0,13.0,call-function,39
96042.0,13.0,call-function,40
137689.0,13.0,call-function,41
176915.0,17.0,call-function,42
293999.0,13.0,call-function,43
149997.0,13.0,call-function,44
165662.0,13.0,call-function,45
109096.0,13.0,call-function,46
864195.0,13.0,call-function,47
137728.0,15.0,call-function,48
100142.0,13.0,call-function,49
136394.0,13.0,call-function,50
217254.0,13.0,call-function,51
913440.0,13.0,call-function,52
159121.0,13.0,call-function,53
92349.0,13.0,call-function,54
231433.0,15.0,call-function,55
408605.0,15.0,call-function,56
219994.0,17.0,call-function,57
173562.0,13.0,call-function,58
79161.0,13.0,call-function,59
636058.0,13.0,call-function,60
192583.0,15.0,call-function,61
141544.0,13.0,call-function,62
163964.0,15.0,call-function,63
104872.0,15.0,call-function,64
316546.0,13.0,call-function,65
216858.0,13.0,call-function,66
102046.0,13.0,call-function,67
318104.0,13.0,call-function,68
121113.0,13.0,call-function,69
105810.0,13.0,call-function,70
144470.0,13.0,call-function,71
183065.0,15.0,call-function,72
346028.0,17.0,call-function,73
450235.0,15.0,call-function,74
283707.0,17.0,call-function,75
349192.0,19.0,call-function,76
223548.0,13.0,call-function,77
153099.0,13.0,call-function,78
150667.0,15.0,call-function,79
229515.0,13.0,call-function,80
114104.0,13.0,call-function,81
130405.0,13.0,call-function,82
209671.0,13.0,call-function,83
129338.0,13.0,call-function,84
219865.0,13.0,call-function,85
137384.0,13.0,call-function,86
80546.0,13.0,call-function,87
195584.0,13.0,call-function,88
114537.0,15.0,call-function,89
172662.0,13.0,call-function,90
190856.0,13.0,call-function,91
96048.0,13.0,call-function,92
256453.0,13.0,call-function,93
176506.0,13.0,call-function,94
197884.0,13.0,call-function,95
113217.0,13.0,call-function,96
154606.0,13.0,call-function,97
264859.0,13.0,call-function,98
103967.0,15.0,call-function,99
198092.0,15.0,call-function,100
163013.0,13.0,call-function,101
110047.0,15.0,call-function,102
136550.0,13.0,call-function,103
106860.0,13.0,call-function,104
248832.0,13.0,call-function,105
103785.0,13.0,call-function,106
185555.0,13.0,call-function,107
192796.0,15.0,call-function,108
149758.0,13.0,call-function,109
397697.0,13.0,call-function,110
182227.0,15.0,call-function,111
