block_idx,color_cue,condition,correct,cue_present,draw_trajectory,goes_in,good_cue,hole,kind,layout,num_bounces,response,rt,score,show_feedback,time_elapsed,trial,trial_index,trial_type,trials_completed,wall_cue,pid
0.0,False,5.0,False,True,True,False,True,instruct_0,instruct,300_1.6,1.0,yes,266.0,0.0,True,96140.0,1.0,5.0,ball,1.0,False,0
0.0,False,5.0,True,True,True,False,True,instruct_4,instruct,300_1.6,1.0,no,3246.0,1.0,True,105544.0,2.0,6.0,ball,2.0,False,0
0.0,False,5.0,False,True,True,False,True,instruct_1,instruct,300_1.6,2.0,yes,1684.0,1.0,True,111450.0,3.0,7.0,ball,3.0,False,0
0.0,False,5.0,True,True,True,True,True,instruct_6,instruct,0_1.6,1.0,yes,1020.0,2.0,True,116659.0,4.0,8.0,ball,4.0,False,0
0.0,False,5.0,False,True,True,True,True,instruct_3,instruct,0_1.6,2.0,no,1639.0,2.0,True,123342.0,5.0,9.0,ball,5.0,False,0
0.0,False,5.0,True,True,True,True,True,instruct_2,instruct,0_1.6,1.0,yes,1729.0,3.0,True,129406.0,6.0,10.0,ball,6.0,False,0
0.0,False,5.0,True,True,True,False,True,instruct_5,instruct,300_1.6,2.0,no,1177.0,4.0,True,134805.0,7.0,11.0,ball,7.0,False,0
0.0,False,5.0,True,True,True,True,True,instruct_7,instruct,0_1.6,2.0,yes,1187.0,5.0,True,139812.0,8.0,12.0,ball,8.0,False,0
1.0,background,5.0,True,False,True,False,True,easy_5,easy,300_1.4,1.0,no,1109.0,1.0,True,152077.0,1.0,16.0,ball,9.0,False,0
1.0,background,5.0,True,True,True,True,True,easy_3,easy,0_1.4,1.0,yes,738.0,2.0,True,156341.0,2.0,17.0,ball,10.0,False,0
1.0,background,5.0,True,True,True,False,True,control_3,control,control,0.0,no,582.0,3.0,True,159929.0,3.0,18.0,ball,11.0,False,0
1.0,background,5.0,True,False,True,False,True,easy_0,easy,300_1.4,1.0,no,458.0,4.0,True,164058.0,4.0,19.0,ball,12.0,False,0
1.0,background,5.0,False,True,True,False,True,easy_13,easy,300_1.4,1.0,yes,1176.0,4.0,True,169098.0,5.0,20.0,ball,13.0,False,0
1.0,background,5.0,False,False,True,True,True,easy_6,easy,0_1.4,1.0,no,580.0,4.0,True,173284.0,6.0,21.0,ball,14.0,False,0
1.0,background,5.0,True,False,True,True,True,easy_14,easy,0_1.4,1.0,yes,536.0,5.0,True,177974.0,7.0,22.0,ball,15.0,False,0
1.0,background,5.0,True,False,True,True,True,easy_11,easy,0_1.4,1.0,yes,617.0,6.0,True,182374.0,8.0,23.0,ball,16.0,False,0
1.0,background,5.0,True,True,True,True,True,easy_2,easy,0_1.4,1.0,yes,548.0,7.0,True,186729.0,9.0,24.0,ball,17.0,False,0
1.0,background,5.0,True,True,True,False,True,easy_1,easy,300_1.4,1.0,no,740.0,8.0,True,191362.0,10.0,25.0,ball,18.0,False,0
1.0,background,5.0,True,False,True,True,True,easy_7,easy,0_1.4,1.0,yes,626.0,9.0,True,195604.0,11.0,26.0,ball,19.0,False,0
1.0,background,5.0,True,True,True,False,True,easy_12,easy,300_1.4,1.0,no,570.0,10.0,True,199879.0,12.0,27.0,ball,20.0,False,0
1.0,background,5.0,False,True,True,False,True,easy_4,easy,300_1.4,1.0,yes,569.0,10.0,True,203996.0,13.0,28.0,ball,21.0,False,0
2.0,background,5.0,True,True,True,False,True,easy_9,easy,300_1.4,1.0,no,884.0,1.0,True,210477.0,1.0,30.0,ball,22.0,False,0
2.0,background,5.0,True,True,True,False,True,easy_0,easy,300_1.4,1.0,no,603.0,2.0,True,214717.0,2.0,31.0,ball,23.0,False,0
2.0,background,5.0,False,True,True,True,True,easy_6,easy,0_1.4,1.0,no,886.0,2.0,True,219161.0,3.0,32.0,ball,24.0,False,0
2.0,background,5.0,True,False,True,True,True,standard_10,standard,0_2.2,1.0,yes,683.0,3.0,True,224359.0,4.0,33.0,ball,25.0,False,0
2.0,background,5.0,True,False,True,False,True,easy_13,easy,300_1.4,1.0,no,896.0,4.0,True,228982.0,5.0,34.0,ball,26.0,False,0
2.0,background,5.0,True,True,True,True,True,easy_14,easy,0_1.4,1.0,yes,1156.0,5.0,True,233865.0,6.0,35.0,ball,27.0,False,0
2.0,background,5.0,True,True,True,False,True,control_1,control,control,0.0,no,941.0,6.0,True,237578.0,7.0,36.0,ball,28.0,False,0
2.0,background,5.0,True,False,True,True,True,easy_3,easy,0_1.4,1.0,yes,997.0,7.0,True,242190.0,8.0,37.0,ball,29.0,False,0
2.0,background,5.0,True,False,True,False,True,easy_4,easy,300_1.4,1.0,no,841.0,8.0,True,246635.0,9.0,38.0,ball,30.0,False,0
2.0,background,5.0,True,True,True,False,True,standard_4,standard,200_2.2,1.0,no,580.0,9.0,True,251653.0,10.0,39.0,ball,31.0,False,0
2.0,background,5.0,True,True,True,True,True,standard_6,standard,0_2.2,1.0,yes,772.0,10.0,True,256929.0,11.0,40.0,ball,32.0,False,0
2.0,background,5.0,False,False,True,False,True,easy_8,easy,300_1.4,1.0,yes,728.0,10.0,True,261450.0,12.0,41.0,ball,33.0,False,0
2.0,background,5.0,True,True,True,True,True,easy_10,easy,0_1.4,1.0,yes,941.0,11.0,True,266142.0,13.0,42.0,ball,34.0,False,0
3.0,background,5.0,True,True,True,True,True,easy_11,easy,0_1.4,1.0,yes,772.0,1.0,True,279102.0,1.0,44.0,ball,35.0,False,0
3.0,background,5.0,True,False,True,False,True,easy_12,easy,300_1.4,1.0,no,1200.0,2.0,True,283883.0,2.0,45.0,ball,36.0,False,0
3.0,background,5.0,True,True,True,True,True,control_2,control,control,0.0,yes,704.0,3.0,True,292141.0,3.0,46.0,ball,37.0,False,0
3.0,background,5.0,True,False,True,False,True,easy_1,easy,300_1.4,1.0,no,930.0,4.0,True,298013.0,4.0,47.0,ball,38.0,False,0
3.0,background,5.0,True,True,True,True,True,easy_7,easy,0_1.4,1.0,yes,1594.0,5.0,True,303391.0,5.0,48.0,ball,39.0,False,0
3.0,background,5.0,False,True,True,False,True,standard_20,standard,200_2.2,1.0,yes,794.0,5.0,True,308792.0,6.0,49.0,ball,40.0,False,0
3.0,background,5.0,True,False,True,False,True,standard_12,standard,200_2.2,1.0,no,1032.0,6.0,True,314396.0,7.0,50.0,ball,41.0,False,0
3.0,background,5.0,True,False,True,False,True,standard_16,standard,200_2.2,1.0,no,1166.0,7.0,True,320492.0,8.0,51.0,ball,42.0,False,0
3.0,background,5.0,True,True,True,True,True,standard_14,standard,0_2.2,1.0,yes,514.0,8.0,True,325971.0,9.0,52.0,ball,43.0,False,0
3.0,background,5.0,True,False,True,False,True,standard_5,standard,200_2.2,2.0,no,694.0,9.0,True,331360.0,10.0,53.0,ball,44.0,False,0
3.0,background,5.0,True,True,True,False,True,easy_5,easy,300_1.4,1.0,no,738.0,10.0,True,335848.0,11.0,54.0,ball,45.0,False,0
3.0,background,5.0,True,False,True,True,True,easy_2,easy,0_1.4,1.0,yes,705.0,11.0,True,340414.0,12.0,55.0,ball,46.0,False,0
3.0,background,5.0,True,True,True,False,True,standard_0,standard,200_2.2,1.0,no,716.0,12.0,True,345546.0,13.0,56.0,ball,47.0,False,0
4.0,background,5.0,True,False,True,True,True,standard_22,standard,0_2.2,1.0,yes,851.0,1.0,True,352488.0,1.0,58.0,ball,48.0,False,0
4.0,background,5.0,True,False,True,True,True,easy_10,easy,0_1.4,1.0,yes,807.0,2.0,True,356783.0,2.0,59.0,ball,49.0,False,0
4.0,background,5.0,True,False,True,False,True,standard_9,standard,200_2.2,2.0,no,615.0,3.0,True,361780.0,3.0,60.0,ball,50.0,False,0
4.0,background,5.0,True,True,True,True,True,standard_11,standard,0_2.2,2.0,yes,738.0,4.0,True,366909.0,4.0,61.0,ball,51.0,False,0
4.0,background,5.0,True,False,True,True,True,standard_23,standard,0_2.2,2.0,yes,648.0,5.0,True,371928.0,5.0,62.0,ball,52.0,False,0
4.0,background,5.0,False,True,True,True,True,standard_15,standard,0_2.2,2.0,no,873.0,5.0,True,377114.0,6.0,63.0,ball,53.0,False,0
4.0,background,5.0,True,True,True,True,True,standard_7,standard,0_2.2,2.0,yes,570.0,6.0,True,382131.0,7.0,64.0,ball,54.0,False,0
