key_press,rt,time_elapsed,trial_index,trial_type,pid
32.0,1706.0,1710.0,0.0,text,0
32.0,6597.0,9314.0,1.0,text,0
81.0,54922.0,65239.0,2.0,text,0
32.0,1611.0,88088.0,4.0,text,0
32.0,4304.0,145126.0,14.0,text,0
32.0,863.0,146994.0,15.0,text,0
32.0,716.0,205719.0,29.0,text,0
32.0,6857.0,274007.0,43.0,text,0
32.0,602.0,347156.0,57.0,text,0
32.0,5766.0,428090.0,71.0,text,0
32.0,410.0,494668.0,85.0,text,0
32.0,7926.0,571933.0,99.0,text,0
32.0,762.0,647298.0,113.0,text,0
32.0,3075.0,729086.0,127.0,text,0
32.0,6633.0,815014.0,140.0,text,0
32.0,1829.0,862489.0,155.0,text,0
32.0,8815.0,8822.0,0.0,text,1
32.0,18554.0,28411.0,1.0,text,1
81.0,53630.0,83076.0,2.0,text,1
32.0,7015.0,109705.0,4.0,text,1
32.0,9046.0,202305.0,14.0,text,1
32.0,1839.0,205148.0,15.0,text,1
32.0,2548.0,294823.0,29.0,text,1
32.0,1668.0,371160.0,43.0,text,1
32.0,748.0,446788.0,57.0,text,1
32.0,1128.0,527680.0,71.0,text,1
32.0,939.0,608124.0,85.0,text,1
32.0,1845.0,689900.0,99.0,text,1
32.0,863.0,776359.0,113.0,text,1
32.0,742.0,869514.0,127.0,text,1
32.0,2227.0,971162.0,140.0,text,1
32.0,3611.0,1047672.0,155.0,text,1
32.0,6259.0,6262.0,0.0,text,2
32.0,6283.0,13564.0,1.0,text,2
81.0,68856.0,83432.0,2.0,text,2
32.0,3248.0,121100.0,4.0,text,2
32.0,12410.0,205008.0,14.0,text,2
32.0,3810.0,209835.0,15.0,text,2
32.0,1532.0,300520.0,29.0,text,2
32.0,970.0,385984.0,43.0,text,2
32.0,1156.0,469769.0,57.0,text,2
32.0,1075.0,556977.0,71.0,text,2
32.0,1237.0,643933.0,85.0,text,2
32.0,1738.0,733015.0,99.0,text,2
32.0,969.0,866679.0,113.0,text,2
32.0,1001.0,999359.0,127.0,text,2
32.0,949.0,1089672.0,140.0,text,2
32.0,938.0,1155807.0,155.0,text,2
32.0,4106.0,4108.0,0.0,text,3
32.0,22098.0,27211.0,1.0,text,3
81.0,45064.0,73283.0,2.0,text,3
32.0,2946.0,93964.0,4.0,text,3
32.0,9562.0,190564.0,14.0,text,3
32.0,2069.0,193636.0,15.0,text,3
32.0,2892.0,264279.0,29.0,text,3
32.0,2010.0,321812.0,43.0,text,3
32.0,1522.0,378437.0,57.0,text,3
32.0,1427.0,425668.0,71.0,text,3
32.0,1210.0,472004.0,85.0,text,3
32.0,1360.0,516805.0,99.0,text,3
32.0,2154.0,564845.0,113.0,text,3
32.0,699.0,609124.0,127.0,text,3
32.0,1715.0,651372.0,140.0,text,3
32.0,1787.0,705588.0,155.0,text,3
32.0,4679.0,4684.0,0.0,text,4
32.0,12947.0,18641.0,1.0,text,4
81.0,33893.0,53544.0,2.0,text,4
32.0,3022.0,78919.0,4.0,text,4
32.0,8124.0,156517.0,14.0,text,4
32.0,1207.0,158732.0,15.0,text,4
32.0,2666.0,219787.0,29.0,text,4
32.0,1158.0,269105.0,43.0,text,4
32.0,1157.0,325152.0,57.0,text,4
32.0,819.0,382262.0,71.0,text,4
32.0,7465.0,453220.0,85.0,text,4
32.0,1272.0,510642.0,99.0,text,4
32.0,1339.0,611247.0,113.0,text,4
32.0,1159.0,670053.0,127.0,text,4
32.0,3782.0,757795.0,140.0,text,4
32.0,1213.0,822536.0,155.0,text,4
32.0,6849.0,6854.0,0.0,text,5
32.0,28819.0,36704.0,1.0,text,5
81.0,49638.0,87354.0,2.0,text,5
32.0,3477.0,110308.0,4.0,text,5
32.0,10772.0,186344.0,14.0,text,5
32.0,3106.0,190463.0,15.0,text,5
32.0,4895.0,247455.0,29.0,text,5
32.0,3949.0,311968.0,43.0,text,5
32.0,3025.0,358967.0,57.0,text,5
32.0,1762.0,411039.0,71.0,text,5
32.0,1723.0,464995.0,85.0,text,5
32.0,1547.0,515583.0,99.0,text,5
32.0,1581.0,567207.0,113.0,text,5
32.0,1432.0,614935.0,127.0,text,5
32.0,1922.0,656032.0,140.0,text,5
32.0,1556.0,713011.0,155.0,text,5
32.0,1643.0,1649.0,0.0,text,6
32.0,28974.0,31635.0,1.0,text,6
81.0,4436.0,37090.0,2.0,text,6
32.0,1468.0,49737.0,4.0,text,6
32.0,5523.0,5531.0,0.0,text,7
32.0,13980.0,20516.0,1.0,text,7
81.0,12456.0,33979.0,2.0,text,7
32.0,3019.0,58380.0,4.0,text,7
32.0,5184.0,148923.0,14.0,text,7
32.0,1524.0,151449.0,15.0,text,7
32.0,3898.0,239850.0,29.0,text,7
32.0,1229.0,320953.0,43.0,text,7
32.0,8745.0,404363.0,57.0,text,7
32.0,2180.0,490793.0,71.0,text,7
32.0,1142.0,582712.0,85.0,text,7
32.0,970.0,669386.0,99.0,text,7
32.0,1020.0,756489.0,113.0,text,7
32.0,1023.0,856952.0,127.0,text,7
32.0,3856.0,948728.0,140.0,text,7
32.0,319.0,1013977.0,155.0,text,7
32.0,4822.0,4828.0,0.0,text,8
32.0,19367.0,25215.0,1.0,text,8
81.0,92777.0,119009.0,2.0,text,8
32.0,4863.0,159086.0,4.0,text,8
32.0,15742.0,263438.0,14.0,text,8
32.0,4139.0,268589.0,15.0,text,8
32.0,4994.0,334527.0,29.0,text,8
