key_press,rt,time_elapsed,trial_index,trial_type,pid
32.0,751.0,208005.0,33.0,text,7
32.0,246.0,237555.0,47.0,text,7
32.0,804.0,265226.0,61.0,text,7
32.0,52.0,292140.0,75.0,text,7
32.0,285.0,326121.0,89.0,text,7
32.0,318.0,352965.0,103.0,text,7
32.0,357.0,380424.0,117.0,text,7
32.0,859.0,413308.0,131.0,text,7
32.0,261.0,435300.0,144.0,text,7
32.0,2957.0,467577.0,159.0,text,7
32.0,8705.0,8708.0,0.0,text,8
32.0,25687.0,35422.0,1.0,text,8
81.0,70794.0,107227.0,2.0,text,8
81.0,8268.0,150626.0,4.0,text,8
81.0,19769.0,197249.0,6.0,text,8
32.0,2858.0,219487.0,8.0,text,8
32.0,11058.0,315984.0,18.0,text,8
32.0,1435.0,318438.0,19.0,text,8
32.0,2702.0,406146.0,33.0,text,8
32.0,1758.0,478064.0,47.0,text,8
32.0,1576.0,549478.0,61.0,text,8
32.0,1660.0,609072.0,75.0,text,8
32.0,1800.0,731449.0,89.0,text,8
32.0,1631.0,800672.0,103.0,text,8
32.0,8288.0,857370.0,117.0,text,8
32.0,1608.0,918076.0,131.0,text,8
32.0,2252.0,970618.0,144.0,text,8
32.0,1664.0,1036760.0,159.0,text,8
32.0,3364.0,3370.0,0.0,text,9
32.0,8822.0,13204.0,1.0,text,9
81.0,31863.0,46077.0,2.0,text,9
81.0,10788.0,78557.0,4.0,text,9
32.0,2576.0,91436.0,6.0,text,9
32.0,5029.0,163344.0,16.0,text,9
32.0,1485.0,165833.0,17.0,text,9
32.0,1092.0,244221.0,31.0,text,9
32.0,1307.0,323836.0,45.0,text,9
32.0,1866.0,407705.0,59.0,text,9
32.0,992.0,487445.0,73.0,text,9
32.0,1239.0,569562.0,87.0,text,9
32.0,892.0,651520.0,101.0,text,9
32.0,1286.0,735868.0,115.0,text,9
32.0,22100.0,949360.0,129.0,text,9
32.0,2597.0,1042921.0,142.0,text,9
32.0,1789.0,1100281.0,157.0,text,9
32.0,1558.0,1571.0,0.0,text,10
32.0,10846.0,13456.0,1.0,text,10
81.0,24201.0,38747.0,2.0,text,10
32.0,1352.0,70133.0,4.0,text,10
32.0,5464.0,141196.0,14.0,text,10
32.0,943.0,143160.0,15.0,text,10
32.0,12323.0,231916.0,29.0,text,10
32.0,9061.0,307521.0,43.0,text,10
32.0,1584.0,392222.0,57.0,text,10
32.0,3416.0,480362.0,71.0,text,10
32.0,1038.0,540868.0,85.0,text,10
32.0,1859.0,628181.0,99.0,text,10
32.0,1757.0,705958.0,113.0,text,10
32.0,1257.0,769288.0,127.0,text,10
32.0,686.0,818126.0,140.0,text,10
32.0,910.0,868967.0,155.0,text,10
32.0,7399.0,7412.0,0.0,text,11
32.0,29901.0,38345.0,1.0,text,11
81.0,141447.0,180817.0,2.0,text,11
81.0,7660.0,414538.0,4.0,text,11
32.0,17487.0,462290.0,6.0,text,11
32.0,10254.0,586944.0,16.0,text,11
32.0,2679.0,590659.0,17.0,text,11
32.0,6202.0,744673.0,31.0,text,11
32.0,4491.0,911728.0,45.0,text,11
32.0,4080.0,1047081.0,59.0,text,11
32.0,7674.0,1240645.0,73.0,text,11
32.0,2965.0,1391632.0,87.0,text,11
32.0,3985.0,1583832.0,101.0,text,11
32.0,11192.0,1767199.0,115.0,text,11
32.0,9001.0,1948051.0,129.0,text,11
32.0,6102.0,2142115.0,142.0,text,11
32.0,2709.0,2296388.0,157.0,text,11
32.0,6273.0,6290.0,0.0,text,12
32.0,32168.0,39490.0,1.0,text,12
81.0,168854.0,209388.0,2.0,text,12
32.0,3094.0,230145.0,4.0,text,12
32.0,3603.0,298028.0,14.0,text,12
32.0,758.0,299793.0,15.0,text,12
32.0,1484.0,388224.0,29.0,text,12
32.0,835.0,460779.0,43.0,text,12
32.0,809.0,528750.0,57.0,text,12
32.0,7309.0,614791.0,71.0,text,12
32.0,779.0,693811.0,85.0,text,12
32.0,590.0,796738.0,99.0,text,12
32.0,354.0,1011719.0,113.0,text,12
32.0,596.0,1092963.0,127.0,text,12
32.0,1348.0,1172400.0,140.0,text,12
32.0,1651.0,1218146.0,155.0,text,12
32.0,36881.0,36883.0,0.0,text,13
32.0,17588.0,55493.0,1.0,text,13
81.0,52926.0,109435.0,2.0,text,13
81.0,8081.0,142740.0,4.0,text,13
32.0,3495.0,155156.0,6.0,text,13
32.0,6011.0,214931.0,16.0,text,13
32.0,1597.0,217540.0,17.0,text,13
32.0,2795.0,296053.0,31.0,text,13
32.0,747.0,366657.0,45.0,text,13
32.0,880.0,440761.0,59.0,text,13
32.0,5050.0,520091.0,73.0,text,13
32.0,307.0,587701.0,87.0,text,13
32.0,580.0,656494.0,101.0,text,13
32.0,1427.0,728202.0,115.0,text,13
32.0,943.0,809977.0,129.0,text,13
32.0,2902.0,934590.0,142.0,text,13
32.0,31608.0,1013973.0,157.0,text,13
32.0,3696.0,3699.0,0.0,text,14
32.0,12539.0,17258.0,1.0,text,14
81.0,75957.0,94727.0,2.0,text,14
32.0,3524.0,151786.0,4.0,text,14
32.0,14161.0,228659.0,14.0,text,14
32.0,1663.0,231365.0,15.0,text,14
32.0,2658.0,285583.0,29.0,text,14
32.0,33659.0,370418.0,43.0,text,14
32.0,946.0,439755.0,57.0,text,14
32.0,20976.0,520058.0,71.0,text,14
32.0,1568.0,577627.0,85.0,text,14
32.0,1489.0,635534.0,99.0,text,14
32.0,20751.0,705745.0,113.0,text,14
32.0,1009.0,755224.0,127.0,text,14
32.0,1175.0,803296.0,140.0,text,14
32.0,836.0,860125.0,155.0,text,14
32.0,9483.0,9490.0,0.0,text,15
32.0,11189.0,21710.0,1.0,text,15
81.0,54700.0,77423.0,2.0,text,15
81.0,8064.0,148719.0,4.0,text,15
32.0,4718.0,163518.0,6.0,text,15
32.0,13446.0,246863.0,16.0,text,15
32.0,1409.0,249294.0,17.0,text,15
32.0,2237.0,317326.0,31.0,text,15
32.0,1165.0,370893.0,45.0,text,15
32.0,1200.0,428894.0,59.0,text,15
32.0,1573.0,495294.0,73.0,text,15
32.0,1593.0,548958.0,87.0,text,15
32.0,1491.0,626381.0,101.0,text,15
32.0,995.0,699597.0,115.0,text,15
32.0,2273.0,772365.0,129.0,text,15
32.0,1643.0,827599.0,142.0,text,15
32.0,1490.0,896829.0,157.0,text,15
32.0,3759.0,3766.0,0.0,text,16
32.0,69658.0,74437.0,1.0,text,16
81.0,44167.0,119635.0,2.0,text,16
81.0,2889.0,181294.0,4.0,text,16
32.0,2316.0,202751.0,6.0,text,16
32.0,6805.0,267035.0,16.0,text,16
32.0,996.0,269056.0,17.0,text,16
32.0,2801.0,321045.0,31.0,text,16
32.0,1142.0,365707.0,45.0,text,16
32.0,2094.0,412007.0,59.0,text,16
32.0,840.0,451363.0,73.0,text,16
32.0,858.0,489015.0,87.0,text,16
32.0,1130.0,527098.0,101.0,text,16
32.0,943.0,563240.0,115.0,text,16
32.0,562.0,598458.0,129.0,text,16
32.0,1294.0,631614.0,142.0,text,16
32.0,1237.0,672274.0,157.0,text,16
32.0,6921.0,6925.0,0.0,text,17
32.0,36395.0,44325.0,1.0,text,17
81.0,59070.0,104407.0,2.0,text,17
32.0,4875.0,160566.0,4.0,text,17
32.0,14585.0,291371.0,14.0,text,17
32.0,1730.0,294106.0,15.0,text,17
32.0,3410.0,443932.0,29.0,text,17
32.0,2248.0,562502.0,43.0,text,17
32.0,1581.0,679503.0,57.0,text,17
32.0,1805.0,794425.0,71.0,text,17
32.0,1902.0,921233.0,85.0,text,17
32.0,1802.0,1037046.0,99.0,text,17
32.0,1584.0,1159199.0,113.0,text,17
32.0,5524.0,1298053.0,127.0,text,17
32.0,10111.0,1435716.0,140.0,text,17
32.0,2913.0,1548854.0,155.0,text,17
32.0,3860.0,3873.0,0.0,text,18
32.0,17911.0,22851.0,1.0,text,18
81.0,27088.0,51004.0,2.0,text,18
81.0,26005.0,95853.0,4.0,text,18
32.0,1298.0,111040.0,6.0,text,18
32.0,4748.0,171305.0,16.0,text,18
32.0,624.0,172943.0,17.0,text,18
32.0,1153.0,246895.0,31.0,text,18
32.0,41.0,325327.0,45.0,text,18
32.0,627.0,415990.0,59.0,text,18
32.0,988.0,495205.0,73.0,text,18
32.0,696.0,582454.0,87.0,text,18
32.0,592.0,664933.0,101.0,text,18
32.0,2398.0,764379.0,115.0,text,18
32.0,622.0,869827.0,129.0,text,18
32.0,3723.0,968988.0,142.0,text,18
32.0,1759.0,1029914.0,157.0,text,18
32.0,100348.0,100359.0,0.0,text,19
32.0,11031.0,112422.0,1.0,text,19
