time_elapsed,trial_index,trial_type,pid
458306.0,13.0,call-function,0
238577.0,15.0,call-function,1
382923.0,15.0,call-function,2
201058.0,15.0,call-function,3
147752.0,13.0,call-function,4
303421.0,17.0,call-function,5
160485.0,13.0,call-function,6
165918.0,17.0,call-function,7
304911.0,17.0,call-function,8
158286.0,15.0,call-function,9
135666.0,13.0,call-function,10
576653.0,15.0,call-function,11
294394.0,13.0,call-function,12
208900.0,15.0,call-function,13
214486.0,13.0,call-function,14
233397.0,15.0,call-function,15
260203.0,15.0,call-function,16
276778.0,13.0,call-function,17
166516.0,15.0,call-function,18
226140.0,15.0,call-function,19
485281.0,23.0,call-function,20
141713.0,13.0,call-function,21
347052.0,13.0,call-function,22
164824.0,15.0,call-function,23
162935.0,15.0,call-function,24
269057.0,15.0,call-function,25
165701.0,13.0,call-function,26
238944.0,15.0,call-function,27
156831.0,13.0,call-function,28
247294.0,13.0,call-function,29
175329.0,15.0,call-function,30
123750.0,13.0,call-function,31
257381.0,17.0,call-function,32
252310.0,15.0,call-function,33
118323.0,13.0,call-function,34
206164.0,13.0,call-function,35
85960.0,15.0,call-function,36
348886.0,13.0,call-function,37
280173.0,15.0,call-function,38
351832.0,15.0,call-function,39
274256.0,15.0,call-function,40
261280.0,13.0,call-function,41
160101.0,15.0,call-function,42
189737.0,15.0,call-function,43
376768.0,15.0,call-function,44
857828.0,13.0,call-function,45
116137.0,15.0,call-function,46
389986.0,13.0,call-function,47
429896.0,15.0,call-function,48
268151.0,17.0,call-function,49
167068.0,15.0,call-function,50
235887.0,13.0,call-function,51
121243.0,13.0,call-function,52
303259.0,15.0,call-function,53
145054.0,13.0,call-function,54
220335.0,15.0,call-function,55
173014.0,15.0,call-function,57
121589.0,19.0,call-function,58
222596.0,13.0,call-function,59
119265.0,13.0,call-function,60
192701.0,15.0,call-function,61
228458.0,15.0,call-function,62
198897.0,15.0,call-function,63
288850.0,15.0,call-function,64
176769.0,17.0,call-function,65
169325.0,13.0,call-function,66
171543.0,15.0,call-function,67
468314.0,13.0,call-function,68
150392.0,13.0,call-function,69
240231.0,15.0,call-function,70
283445.0,15.0,call-function,71
284322.0,15.0,call-function,72
220207.0,13.0,call-function,73
392995.0,23.0,call-function,74
160406.0,19.0,call-function,75
174982.0,13.0,call-function,76
235326.0,15.0,call-function,77
284163.0,17.0,call-function,78
342685.0,13.0,call-function,79
288543.0,13.0,call-function,80
183544.0,15.0,call-function,81
148024.0,15.0,call-function,82
623618.0,13.0,call-function,83
228617.0,13.0,call-function,84
304960.0,15.0,call-function,85
222402.0,13.0,call-function,86
267016.0,13.0,call-function,87
154967.0,15.0,call-function,88
115865.0,15.0,call-function,89
240805.0,13.0,call-function,90
226165.0,13.0,call-function,91
212137.0,17.0,call-function,92
167313.0,17.0,call-function,93
185659.0,15.0,call-function,94
315420.0,15.0,call-function,95
455376.0,19.0,call-function,96
222753.0,15.0,call-function,97
198283.0,13.0,call-function,98
155340.0,13.0,call-function,99
172325.0,13.0,call-function,100
197380.0,15.0,call-function,101
151447.0,13.0,call-function,102
148877.0,13.0,call-function,103
210264.0,15.0,call-function,105
137667.0,13.0,call-function,106
176745.0,13.0,call-function,107
562821.0,15.0,call-function,108
104436.0,13.0,call-function,109
402665.0,15.0,call-function,110
174330.0,13.0,call-function,111
165831.0,13.0,call-function,112
151710.0,15.0,call-function,113
