key_press,rt,time_elapsed,trial_index,trial_type,pid
32.0,3049.0,3052,0,text,0
32.0,8724.0,12779,1,text,0
81.0,69856.0,83643,2,text,0
81.0,16395.0,122506,4,text,0
32.0,2326.0,133723,6,text,0
32.0,7522.0,208490,16,text,0
32.0,2275.0,211769,17,text,0
32.0,1822.0,1834,0,text,1
32.0,1886.0,1895,0,text,1
32.0,2591.0,5490,1,text,1
81.0,38802.0,45300,2,text,1
81.0,29736.0,101745,4,text,1
32.0,4350.0,114929,6,text,1
32.0,6272.0,225565,16,text,1
32.0,1352.0,227932,17,text,1
32.0,5425.0,5432,0,text,2
32.0,12285.0,18731,1,text,2
81.0,47463.0,67207,2,text,2
32.0,3090.0,92995,4,text,2
32.0,14034.0,183904,14,text,2
32.0,2738.0,187649,15,text,2
32.0,4834.0,4841,0,text,3
32.0,21919.0,27776,1,text,3
81.0,83436.0,112222,2,text,3
32.0,5803.0,178082,4,text,3
32.0,46875.0,296141,14,text,3
32.0,2859.0,300015,15,text,3
32.0,1432.0,1437,0,text,4
32.0,1651.0,4116,1,text,4
81.0,2816.0,7941,2,text,4
32.0,2098.0,21483,4,text,4
32.0,795.0,68111,14,text,4
32.0,857.0,69970,15,text,4
32.0,6581.0,6591,0,text,5
32.0,2004.0,2014,0,text,5
32.0,9423.0,12461,1,text,5
81.0,28897.0,42412,2,text,5
81.0,42205.0,117260,4,text,5
81.0,9541.0,142763,6,text,5
81.0,25256.0,185161,8,text,5
81.0,24944.0,243720,10,text,5
32.0,4058.0,266023,12,text,5
32.0,13181.0,376839,22,text,5
32.0,1439.0,379286,23,text,5
32.0,20675.0,20683,0,text,6
32.0,28134.0,49841,1,text,6
81.0,230641.0,281500,2,text,6
32.0,37355.0,440491,4,text,6
32.0,43322.0,581038,14,text,6
32.0,1988.0,584032,15,text,6
32.0,6716.0,6725,0,text,7
32.0,14326.0,22065,1,text,7
81.0,69115.0,92202,2,text,7
81.0,14046.0,129019,4,text,7
32.0,2432.0,141034,6,text,7
32.0,4859.0,233296,16,text,7
32.0,812.0,235119,17,text,7
32.0,2353.0,2356,0,text,8
32.0,26808.0,30190,1,text,8
81.0,106676.0,137891,2,text,8
32.0,5722.0,197913,4,text,8
32.0,36626.0,300474,14,text,8
32.0,22579.0,324066,15,text,8
32.0,2461.0,2468,0,text,9
32.0,27490.0,30968,1,text,9
